Validation_ratio : 0.1
Torolt elemek szama a train-ben: 0
Torolt elemek szama a test-ben: 0
Maradek teljes elemek szama a train-ben: 1191
Maradek teljes elemek szama a test-ben: 130
train_image_tensors : torch.Size([1071, 3, 128, 128])
test_image_tensors : torch.Size([130, 3, 128, 128])
validate_image_tensors : torch.Size([120, 3, 128, 128])
data_array.shape : (1191, 2)
Eredeti címke: [1.957815391 -9.985237259 7.492938751 ... -1.135871743 -4.206591786
 -8.879345336]
Átalakított címke: [722 0 1048 ... 547 366 62]
 [0 - 50] - EfficientNetB0Custom
Epoch [1/50], Train Loss: 7.2183, Val Accuracy: 0.1333
Epoch [2/50], Train Loss: 7.1583, Val Accuracy: 0.1417
Epoch [3/50], Train Loss: 6.8805, Val Accuracy: 0.1167
Epoch [4/50], Train Loss: 6.4832, Val Accuracy: 0.1333
Epoch [5/50], Train Loss: 5.7312, Val Accuracy: 0.1750
Epoch [6/50], Train Loss: 4.8066, Val Accuracy: 0.1667
Epoch [7/50], Train Loss: 3.6242, Val Accuracy: 0.1167
Epoch [8/50], Train Loss: 2.3542, Val Accuracy: 0.1333
Epoch [9/50], Train Loss: 1.2910, Val Accuracy: 0.1750
Epoch [10/50], Train Loss: 0.6190, Val Accuracy: 0.1500
Epoch [11/50], Train Loss: 0.2200, Val Accuracy: 0.1417
Epoch [12/50], Train Loss: 0.1625, Val Accuracy: 0.1417
Epoch [13/50], Train Loss: 0.1201, Val Accuracy: 0.1250
Epoch [14/50], Train Loss: 0.0921, Val Accuracy: 0.1333
Epoch [15/50], Train Loss: 0.0810, Val Accuracy: 0.1333
Epoch [16/50], Train Loss: 0.0758, Val Accuracy: 0.1417
Epoch [17/50], Train Loss: 0.0713, Val Accuracy: 0.1500
Epoch [18/50], Train Loss: 0.0616, Val Accuracy: 0.1417
Epoch [19/50], Train Loss: 0.0619, Val Accuracy: 0.1333
Epoch [20/50], Train Loss: 0.0460, Val Accuracy: 0.1417
Epoch [21/50], Train Loss: 0.0526, Val Accuracy: 0.1333
Epoch [22/50], Train Loss: 0.0512, Val Accuracy: 0.1667
Epoch [23/50], Train Loss: 0.0509, Val Accuracy: 0.1417
Epoch [24/50], Train Loss: 0.0499, Val Accuracy: 0.1500
Epoch [25/50], Train Loss: 0.0452, Val Accuracy: 0.1417
Epoch [26/50], Train Loss: 0.0468, Val Accuracy: 0.1667
Epoch [27/50], Train Loss: 0.0486, Val Accuracy: 0.1417
Epoch [28/50], Train Loss: 0.0489, Val Accuracy: 0.1500
Epoch [29/50], Train Loss: 0.0469, Val Accuracy: 0.1083
Epoch [30/50], Train Loss: 0.0529, Val Accuracy: 0.1583
Epoch [31/50], Train Loss: 0.0504, Val Accuracy: 0.1667
Epoch [32/50], Train Loss: 0.0453, Val Accuracy: 0.1583
Epoch [33/50], Train Loss: 0.0446, Val Accuracy: 0.1250
