Validation_ratio : 0.1
data_array.shape : (1191, 2)
Torolt elemek szama a train-ben: 0  , Maradt : 1191
Torolt elemek szama a test-ben: 0    , Maradt : 130
train_image_tensors : torch.Size([1131, 3, 128, 128])
test_image_tensors : torch.Size([130, 3, 128, 128])
validate_image_tensors : torch.Size([60, 3, 128, 128])
Eredeti címke: [1.957815391 -9.985237259 7.492938751 ... -1.135871743 -4.206591786
 -8.879345336]
Átalakított címke: [722 0 1048 ... 547 366 62]
Loading pretrained weights from Hugging Face hub (timm/convnext_base.fb_in22k_ft_in1k)
[timm/convnext_base.fb_in22k_ft_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
Missing keys (head.fc.weight, head.fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
 [0 - 20] - ConvNeXtCustom - B = 64
Epoch [1/20], Train Loss: 7.2135, Val Accuracy: 0.1167
Epoch [2/20], Train Loss: 7.1836, Val Accuracy: 0.0667
Epoch [3/20], Train Loss: 7.1148, Val Accuracy: 0.0667
Epoch [4/20], Train Loss: 7.0983, Val Accuracy: 0.1167
Epoch [5/20], Train Loss: 7.1005, Val Accuracy: 0.1167
Epoch [6/20], Train Loss: 7.0825, Val Accuracy: 0.1167
Epoch [7/20], Train Loss: 7.0828, Val Accuracy: 0.1333
Epoch [8/20], Train Loss: 7.0743, Val Accuracy: 0.1167
Epoch [9/20], Train Loss: 7.0710, Val Accuracy: 0.0667
Epoch [10/20], Train Loss: 7.0674, Val Accuracy: 0.1333
Epoch [11/20], Train Loss: 7.0652, Val Accuracy: 0.0500
Epoch [12/20], Train Loss: 7.0626, Val Accuracy: 0.0500
Epoch [13/20], Train Loss: 7.0600, Val Accuracy: 0.0833
Epoch [14/20], Train Loss: 7.0579, Val Accuracy: 0.1333
Epoch [15/20], Train Loss: 7.0562, Val Accuracy: 0.0500
Epoch [16/20], Train Loss: 7.0541, Val Accuracy: 0.1333
Epoch [17/20], Train Loss: 7.0524, Val Accuracy: 0.1333
Epoch [18/20], Train Loss: 7.0511, Val Accuracy: 0.1333
Epoch [19/20], Train Loss: 7.0500, Val Accuracy: 0.0833
Epoch [20/20], Train Loss: 7.0494, Val Accuracy: 0.0500
 [20 - 25] - ConvNeXtCustom - B = 64
Epoch [21/25], Train Loss: 7.0491, Val Accuracy: 0.0500
Epoch [22/25], Train Loss: 7.0494, Val Accuracy: 0.0500
Epoch [23/25], Train Loss: 7.0500, Val Accuracy: 0.0500
Epoch [24/25], Train Loss: 7.0509, Val Accuracy: 0.0500
Epoch [25/25], Train Loss: 7.0524, Val Accuracy: 0.1333
 [25 - 30] - ConvNeXtCustom - B = 64
Epoch [26/30], Train Loss: 7.0542, Val Accuracy: 0.1167
Epoch [27/30], Train Loss: 7.0563, Val Accuracy: 0.0500
Epoch [28/30], Train Loss: 7.0587, Val Accuracy: 0.1167
Epoch [29/30], Train Loss: 7.0611, Val Accuracy: 0.1333
Epoch [30/30], Train Loss: 7.0630, Val Accuracy: 0.1167
 [30 - 35] - ConvNeXtCustom - B = 64
